sub_station,sub_address,lat,long
77 St,"E 77th St, New York, NY 10075, USA",40.7729692,-73.9582529
Houston Street Station,"W Houston St, New York, NY 10014, USA",40.7286179,-74.0053112
86 Street Station,"New York, NY 10024, USA",40.7308619,-73.9871558
Fulton Street Station,"Broadway, New York, NY 10038, USA",40.7119091,-74.008034
14 Street - Union Square Station,"New York, NY 10003, USA",40.7308619,-73.9871558
South Ferry Station,"New York, NY 10004, USA",40.7308619,-73.9871558
34 Street - Penn Station,"New York, NY 10001, United States",40.7308619,-73.9871558
Times Sq - 42 St,"New York, NY 10018, USA",40.7308619,-73.9871558
Wall Street Station,"New York, NY 10006, USA",40.7308619,-73.9871558
West 4 St-Washington Sq Sta,"New York, NY 10012, United States",40.7308619,-73.9871558
34 St - Herald Sq Subway Station,"New York, NY 10001, USA",40.7308619,-73.9871558
181 St,"Fort Washington Ave, New York, NY 10033",40.8499781,-73.9386594
Fulton Street Subway Station,"135-167 Fulton St, New York, NY 10038, USA",40.710358,-74.00782
Times Sq - 42 St,"New York, NY 10036, United States",40.7308619,-73.9871558
Central Pk North-110 St Lenox Av,"New York, NY 10026, United States",40.7308619,-73.9871558
215 Street Station,"New York, NY 10034, United States",40.7642499,-73.954525
155 St,"New York, NY 10039, United States",40.7642499,-73.954525
190 Street Subway Station,"Bennett Ave, New York, NY 10040, USA",40.858113,-73.932983
59 St-Lexington Av Station,"E 60th St, New York, NY 10065, USA",40.7622593,-73.966271
Canal St,"New York, NY 10013, United States",40.7308619,-73.9871558
79 St Station,"New York, NY 10024, United States",40.7308619,-73.9871558
7 Avenue Station,"New York, NY 10019, United States",40.7642499,-73.954525
Union Square Subway,"New York, NY 10003, United States",40.7308619,-73.9871558
50 St Br,"New York, NY 10019, United States",40.7642499,-73.954525
57 Street Station,"New York, NY 10019, United States",40.7642499,-73.954525
23 Street Station,"New York, NY 10010, United States",40.7308619,-73.9871558
14 Street / 8 Av,"New York, NY 10014, United States",40.7308619,-73.9871558
MTA New York City ,"525 11th Ave, New York, NY 10018, USA",40.7598088,-73.9992819
