Address,Area,Price_per_ft2,Rooms,Area-ft2,Rent_Price,Lat,Long
180 West 20th Street,No fee rental in Chelsea,5.48,2.0,1200,6570,40.7419763,-73.9968226
160 East 48th Street,Rental in Midtown East,2.57,3.0,2500,6431,40.7546432,-73.9721078
237 East 34th Street,Rental in Murray Hill,4.66,2.0,1350,6295,40.74525955,-73.9763031783095
501 East 74th Street,Rental in Lenox Hill,4.43,2.0,1400,6195,40.7681218,-73.9524144
182 Bleecker Street,Rental in Greenwich Village,4.62,2.0,1300,6000,40.7289281,-74.0010532175512
236 West 10th Street,Rental in West Village,2.66,3.0,2450,6525,40.7337857,-74.0054962
401 East 34th Street,Rental in Murray Hill,4.76,2.0,1350,6425,40.7435459,-73.9725085
242 West 53rd Street,Rental in Midtown West,4.5,2.0,1400,6295,40.76351445,-73.9839071184531
70 Pine Street,No fee rental in Financial District,4.13,2.0,1500,6188,40.7064543,-74.0077096653666
52 Spring Street,Rental in NoLiTa/Little Italy,3.75,2.0,1600,6000,40.7219788,-73.9965722
210 West 70th Street,No fee rental in Lincoln Center,4.25,2.0,1400,5950,40.77745355,-73.9834930502176
225 East 70th Street,Rental in Lenox Hill,5.0,3.0,1500,7500,40.7679183,-73.9597563545855
1080 Amsterdam Avenue,No fee rental in Morningside Heights,4.33,2.0,1800,7792,40.8050897,-73.9625516
405 Main Street,No fee rental in Roosevelt Island,2.69,3.0,2700,7275,40.7579732,-73.9543348832883
13 East 9th Street,Rental in Greenwich Village,7.83,1.0,830,6500,40.73259635,-73.9949137567464
210 West 70th Street,No fee rental in Lincoln Center,4.01,2.0,1600,6418,40.77745355,-73.9834930502176
250 West 93rd Street,No fee rental in Riverside Dr./West End Ave.,3.49,2.0,1800,6275,40.7928222,-73.9736836
401 East 34th Street,Rental in Midtown West,4.58,3.0,1350,6182,40.7435459,-73.9725085
510 East 14th Street,Rental in East Village,6.79,2.0,1300,8825,40.7299723,-73.9797623
105 West 29th Street,No fee rental in Chelsea,7.93,1.0,750,5945,40.7468349183673,-73.9902614081633
200 East 82nd Street,Rental in Yorkville,5.93,2.0,1184,7022,40.7759672,-73.9556097
730 Columbus Avenue,No fee rental in Broadway Corridor,4.93,3.0,1400,6905,40.7925729,-73.9680366
508 LaGuardia Place,Rental in Greenwich Village,10.38,2.0,1300,13500,40.7277838,-73.9994961074675
316 East 53rd Street,Rental in Midtown East,11.25,1.0,1200,13500,40.7562522,-73.966550385214
316 East 53rd Street,Rental in Midtown East,4.5,2.0,3000,13500,40.7562522,-73.966550385214
201 East 86th Street,Rental in Yorkville,3.65,4.0,3700,13511,40.778834,-73.953789
175 Franklin Street,Rental in Park/Fifth Ave,8.24,2.0,1700,14000,40.71916105,-74.0093834
7 West 21st Street,No fee rental in Flatiron/Union Square,5.83,2.0,1800,10500,40.7404696122449,-73.990787755102
436 West 20th Street,Rental in Chelsea,5.63,2.0,2000,11250,40.74517965,-74.0045068917753
242 West 53rd Street,Rental in Midtown West,6.66,3.0,2400,15995,40.76351445,-73.9839071184531
11 East 78th Street,Rental in Park/Fifth Ave. to 79th St.,5.09,3.0,2700,13750,40.7760245,-73.9630706129712
136 West Houston Street,Rental in Greenwich Village,4.93,3.0,2900,14300,40.72804555,-74.0014756325424
254 East 68th Street,Rental in Lenox Hill,7.08,3.0,1694,12000,40.766203,-73.9606652
5 East 82nd Street,Rental in Carnegie Hill,6.11,1.0,1800,11000,40.7787805,-73.9614146598938
305 Riverside Drive,Rental in Riverside Dr./West End Ave.,3.13,4.0,3200,10000,40.8000313,-73.9713432143852
7 West 21st Street,No fee rental in Flatiron/Union Square,5.69,2.0,1600,9100,40.7404696122449,-73.990787755102
173 West Broadway,Rental in Tribeca,11.11,1.0,900,10000,40.7178173333333,-74.0072851111111
21 West Street,No fee rental in Financial District,3.37,3.0,2700,9095,40.70638365,-74.0155287764695
25 East 67th Street,Rental in Park/Fifth Ave. to 79th St.,8.8,1.0,970,8534,40.768751,-73.9678737
92 Bank Street,Rental in West Village,5.13,2.0,1560,8000,40.73635545,-74.0063181853428
9 East 78th Street,Rental in Park/Fifth Ave. to 79th St.,8.38,2.0,1670,14000,40.7761179,-73.9631651781674
361 East 50th Street,Rental in Midtown East,3.07,6.0,4560,14000,40.7540638,-73.9663232
121 East 69th Street,Rental in Park/Fifth Ave. to 79th St.,2.74,6.0,4560,12500,40.7688182,-73.9641536
105 Mulberry Street,Rental in NoLiTa/Little Italy,3.57,4.0,3500,12500,40.7173465,-73.9985454
254 East 68th Street,Rental in Lenox Hill,6.55,3.0,1717,11250,40.766203,-73.9606652
915 West End Avenue,Rental in Riverside Dr./West End Ave.,3.56,4.0,3150,11200,40.800846,-73.9693412
550 West 54th Street,No fee rental in Midtown West,8.05,3.0,1300,10460,40.7678963673469,-73.9918730408163
225 East 39th Street,No fee rental in Murray Hill,4.2,3.0,2450,10285,40.7487057,-73.9744991197419
88 Leonard Street,No fee rental in Tribeca,4.19,3.0,2230,9350,40.7170711,-74.0046817
915 West End Avenue,Rental in Riverside Dr./West End Ave.,5.26,3.0,2130,11200,40.800846,-73.9693412
1214 Fifth Avenue,No fee rental in East Harlem,4.57,3.0,2450,11190,40.7911766,-73.9523161546756
200 East 82nd Street,Rental in Yorkville,6.87,3.0,1620,11126,40.7759672,-73.9556097
162 East 81st Street,Rental in Carnegie Hill,1.0,2.0,10240,10250,40.77575915,-73.9571676
420 East 54th Street,Rental in Beekman/Sutton Place,3.65,3.0,2560,9350,40.7558074,-73.9633352
9 East 78th Street,Rental in Park/Fifth Ave. to 79th St.,10.22,2.0,1370,14000,40.7761179,-73.9631651781674
510 East 14th Street,Rental in East Village,5.87,3.0,2130,12496,40.7299723,-73.9797623
26 Washington Square North,Rental in Greenwich Village,5.73,3.0,2180,12500,40.7322657,-73.9981863490779
360 West 34th Street,Rental in Midtown West,4.16,3.0,2240,9329,40.7530109,-73.9959335
360 West 34th Street,No fee rental in Midtown West,7.77,3.0,1200,9329,40.7530109,-73.9959335
200 East 72nd Street,Rental in Lenox Hill,5.15,3.0,1700,8750,40.7694647,-73.9603387
50 Murray Street,No fee rental in Tribeca,7.11,2.0,1223,8700,40.7140514285714,-74.0096081428571
300 East 56th Street,No fee rental in Midtown East,3.87,3.0,2100,8118,40.7582164,-73.9651897
1930 Broadway,No fee rental in Central Park West,5.06,2.0,1600,8095,40.7724736,-73.9819006
33 West 9th Street,Rental in Greenwich Village,6.67,2.0,1500,10000,40.7336912,-73.9973228448113
